timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
16999304,2,-1,0,14,0,0,1,0,0,0,0,0,0,0
24819559,2,-1,0,14,0,0,1,0,0,0,0,0,0,0
24844065,2,0,1,14,0,0,1,0,0,0,0,0,0,0
30698109,2,1,2,14,0,0,1,0,0,0,0,0,0,0
37099255,2,2,3,14,0,0,1,0,0,0,0,0,0,0
40246061,2,3,4,14,0,0,1,0,0,0,0,0,0,0
44265064,2,4,5,14,0,0,1,0,0,0,0,0,0,0
54057977,2,5,6,14,0,0,1,0,0,0,0,0,0,0
62685730,2,6,7,14,0,0,1,0,0,0,0,0,0,0
73373270,2,7,8,14,0,0,1,0,0,0,0,0,0,0
90362818,2,8,9,14,0,0,1,0,0,0,0,0,0,0
98053757,2,9,10,14,0,0,1,0,0,0,0,0,0,0
122964068,2,10,11,14,0,0,1,0,0,0,0,0,0,0
145029565,2,11,12,14,0,0,1,0,0,0,0,0,0,0
153197066,2,12,13,14,0,0,1,0,0,0,0,0,0,0
168862809,2,13,13,14,0,0,1,0,0,0,0,0,0,0
183262395,2,13,13,14,0,0,1,0,1,0,0,0,0,0
183417239,3,-1,0,14,0,0,1,0,0,0,0,0,0,0
